Interests
name,category
Rowing,Sports & Athletics
Car Racing,Sports & Athletics
Choir,Music
Marvel,Pop Culture
Mountains,Outdoor & Nature
Thriller films,Movies & TV
Raves,Nightlife & Social
Sci-Fi,Movies & TV
Wrestling,Sports & Athletics
Skincare,Beauty & Fashion
Board Games,Hobbies & Crafts
Musical Writing,Music
Concerts,Music
Museums,Arts & Creativity
Comedy,Performing Arts
Among Us,Gaming
Canoeing,Sports & Athletics
TikTok,Technology
Literature,Arts & Creativity
Boba Tea,Food & Dining
Opera,Performing Arts
Exchange Program,Travel & Adventure
Anime,Pop Culture
Brunch,Food & Dining
Environmentalism,Social Causes & Activism
Activism,Social Causes & Activism
Online Games,Gaming
Stand up Comedy,Performing Arts
Equality,Social Causes & Activism
Funk Music,Music
Spotify,Technology
Sauna,Fitness & Wellness
Free Diving,Sports & Athletics
Volleyball,Sports & Athletics
Mixing porridge before eating,Lifestyle
Live Music,Music
High School Sports,Sports & Athletics
Sailing,Sports & Athletics
Harry Potter,Pop Culture
Musical Instrument,Music
X,Technology
Techno,Music
Sports shows,Movies & TV
Spa,Fitness & Wellness
Outdoors,Outdoor & Nature
Entrepreneurship,Business & Career
Manga,Pop Culture
Padel,Sports & Athletics
Movies,Movies & TV
Eat porridge directly,Lifestyle
Nintendo,Gaming
Coffee,Food & Dining
Couchsurfing,Travel & Adventure
Travel,Travel & Adventure
Real Estate,Business & Career
DIY,Hobbies & Crafts
Black Lives Matter,Social Causes & Activism
Pole Dancing,Fitness & Wellness
Working out,Fitness & Wellness
J-Pop,Music
Self Love,Fitness & Wellness
Skating,Sports & Athletics
Sushi,Food & Dining
Painting,Arts & Creativity
Tattoos,Lifestyle
Boxing,Sports & Athletics
Gym,Fitness & Wellness
Hockey,Sports & Athletics
Skateboarding,Sports & Athletics
Roblox,Gaming
Hiking,Outdoor & Nature
Pub Quiz,Nightlife & Social
Fortnite,Gaming
Netflix,Movies & TV
Weightlifting,Fitness & Wellness
Walking Tours,Travel & Adventure
Content Creation,Technology
Twitch,Technology
Voter Rights,Social Causes & Activism
Baseball,Sports & Athletics
Active Lifestyle,Fitness & Wellness
NFTs,Technology
Cafe Hopping,Food & Dining
Latin music,Music
Atari,Gaming
Social Media,Technology
House Parties,Nightlife & Social
Olympic Gymnastics,Sports & Athletics
Punk rock,Music
Makeup,Beauty & Fashion
Trap Music,Music
MLB,Sports & Athletics
Politics,Social Causes & Activism
Fashion,Beauty & Fashion
Poetry,Arts & Creativity
Bowling,Sports & Athletics
Writing,Arts & Creativity
Drama shows,Movies & TV
Açaí,Food & Dining
Folk music,Music
Language Exchange,Nightlife & Social
Backpacking,Travel & Adventure
Shisha,Nightlife & Social
Art Galleries,Arts & Creativity
Trampoline,Sports & Athletics
90s Britpop,Music
Pride,Social Causes & Activism
Pho,Food & Dining
Food tours,Food & Dining
Jetskiing,Travel & Adventure
Reality TV,Movies & TV
Shopping,Beauty & Fashion
Alternative music,Music
Marathon,Sports & Athletics
Rollerskating,Sports & Athletics
Mindfulness,Fitness & Wellness
Tennis,Sports & Athletics
Mocktails,Nightlife & Social
Self Care,Fitness & Wellness
Meditation,Fitness & Wellness
Rock music,Music
Horror Movies,Movies & TV
Skiing,Sports & Athletics
Road Trips,Travel & Adventure
Walking My Dog,Outdoor & Nature
Walking,Outdoor & Nature
Dancing,Nightlife & Social
Cricket,Sports & Athletics
Blogging,Technology
VR Room,Gaming
Bars,Nightlife & Social
Cooking,Hobbies & Crafts
Gospel music,Music
Athletics,Sports & Athletics
Parties,Nightlife & Social
Soul music,Music
Beach sports,Sports & Athletics
90s Kid,Pop Culture
Binge-Watching TV shows,Movies & TV
Volunteering,Social Causes & Activism
Fencing,Sports & Athletics
Wine,Nightlife & Social
Pop music,Music
Self Development,Fitness & Wellness
Reading,Arts & Creativity
Street Food,Food & Dining
Pubs,Nightlife & Social
Dungeons & Dragons,Hobbies & Crafts
Town Festivities,Nightlife & Social
Reggaeton,Music
Indie films,Movies & TV
Virtual Reality,Gaming
Feminism,Social Causes & Activism
Nightlife,Nightlife & Social
Singing,Music
Gardening,Hobbies & Crafts
Luge,Sports & Athletics
Freelancing,Business & Career
Music,Music
Tarot,Lifestyle
Festivals,Nightlife & Social
Crime shows,Movies & TV
Instagram,Technology
Vlogging,Technology
Astrology,Lifestyle
Musical theater,Performing Arts
PlayStation,Gaming
Aquarium,Lifestyle
Clubbing,Nightlife & Social
Disney,Pop Culture
Yoga,Fitness & Wellness
Military,Lifestyle
Fitness classes,Fitness & Wellness
Sports Shooting,Sports & Athletics
Xbox,Gaming
K-drama shows,Movies & TV
Country Music,Music
Drive-in Cinema,Movies & TV
NBA,Sports & Athletics
Crossfit,Fitness & Wellness
Jazz,Music
Memes,Pop Culture
Ramen,Food & Dining
Indoor Activities,Lifestyle
Happy Hour,Nightlife & Social
Drawing,Arts & Creativity
Acapella,Music
Diving,Sports & Athletics
Hip Hop,Music
Thrifting,Beauty & Fashion
LGBTQ+ Rights,Social Causes & Activism
Sweet treats,Food & Dining
Water Polo,Sports & Athletics
Sneakers,Beauty & Fashion
R&B,Music
E-Sports,Gaming
Rock Climbing,Sports & Athletics
Archery,Sports & Athletics
Jogging,Fitness & Wellness
Beach Bars,Nightlife & Social
Foodie,Food & Dining
Motorcycles,Lifestyle
Swimming,Sports & Athletics
Tempeh,Food & Dining
Vintage Fashion,Beauty & Fashion
Running,Fitness & Wellness
Motor Sports,Sports & Athletics
Picnicking,Outdoor & Nature
World Peace,Social Causes & Activism
Table Tennis,Sports & Athletics
Handball,Sports & Athletics
Cycling,Sports & Athletics
Trivia,Nightlife & Social
Heavy Metal,Music
Pinterest,Technology
Basketball,Sports & Athletics
Rugby,Sports & Athletics
Cosplay,Pop Culture
Indie music,Music
Surfing,Sports & Athletics
Badminton,Sports & Athletics
Animated movies,Movies & TV
Home Workout,Fitness & Wellness
Paddle Boarding,Sports & Athletics
YouTube,Technology
Battle Ground,Gaming
Cheerleading,Sports & Athletics
Snowboarding,Sports & Athletics
Plant-based,Food & Dining
Exhibition,Arts & Creativity
Climbing,Sports & Athletics
Martial Arts,Sports & Athletics
Rom-coms,Movies & TV
Self Care,Fitness & Wellness
Nature,Outdoor & Nature
Equestrian,Sports & Athletics
Cocktails,Nightlife & Social
Ice Cream,Food & Dining
Online Shopping,Beauty & Fashion
Softball,Sports & Athletics
Korean Food,Food & Dining
Ice Hockey,Sports & Athletics
Escape Rooms,Nightlife & Social
Music bands,Music
Podcasts,Technology
Electronic Music,Music
Squash,Sports & Athletics
Art,Arts & Creativity
Gymnastics,Sports & Athletics
Photography,Arts & Creativity
Pilates,Fitness & Wellness
Bollywood,Pop Culture
Grime,Music
SoundCloud,Technology
BBQ,Food & Dining
Climate Change,Social Causes & Activism
Youth Empowerment,Social Causes & Activism
Karaoke,Nightlife & Social
Bar Hopping,Nightlife & Social
Rap music,Music
Cars,Lifestyle
Soccer,Sports & Athletics
Camping,Outdoor & Nature
Mental Health Awareness,Social Causes & Activism
Upcycling,Hobbies & Crafts
Hot Springs,Fitness & Wellness
Football,Sports & Athletics
Fantasy movies,Movies & TV
Documentaries,Movies & TV
Tea,Food & Dining
Paragliding,Travel & Adventure
Craft Beer,Nightlife & Social
Action movies,Movies & TV
Metaverse,Technology
House music,Music
Online Broker,Business & Career
Lacrosse,Sports & Athletics
League of Legends,Gaming
Sports,Sports & Athletics
Film Festival,Arts & Creativity
Trying New Things,Lifestyle
Baking,Hobbies & Crafts
Investing,Business & Career
K-Pop,Music
Comic-con,Pop Culture
Inclusivity,Social Causes & Activism
Fishing,Outdoor & Nature
Social Development,Social Causes & Activism
Human Rights,Social Causes & Activism
EDM,Music
Killing Time,Lifestyle
Disability Rights,Social Causes & Activism
Theater,Performing Arts
